name,class,surfaceAreaObj,compactnessObj,rectangularityObj,diameterObj,convexityObj,eccentricityObj,A3,D1,D2,D3,D4
m1347_normalized.obj,AircraftBuoyant,2.70668,0.56651,0.44256,1.63387,0.82582,27.52842,"0.077,0.097,0.074,0.066,0.064,0.042,0.035,0.029,0.03,0.031,0.028,0.025,0.028,0.031,0.037,0.037,0.029,0.026,0.026,0.022,0.026,0.033,0.032,0.016,0.017,0.021,0.006,0.005,0.006,0.004","0.038,0.075,0.199,0.153,0.03,0.008,0.006,0.007,0.008,0.008,0.008,0.015,0.008,0.02,0.022,0.025,0.023,0.025,0.028,0.083,0.087,0.005,0.008,0.004,0.004,0.018,0.045,0.026,0.011,0.003","0.048,0.071,0.072,0.057,0.055,0.024,0.023,0.021,0.026,0.018,0.024,0.058,0.058,0.053,0.073,0.092,0.057,0.017,0.023,0.016,0.004,0.005,0.01,0.013,0.007,0.015,0.01,0.014,0.024,0.012","0.009,0.027,0.038,0.037,0.044,0.031,0.055,0.055,0.06,0.066,0.065,0.061,0.054,0.049,0.027,0.033,0.032,0.022,0.023,0.029,0.024,0.019,0.032,0.018,0.024,0.016,0.02,0.02,0.003,0.007","0.006,0.027,0.029,0.026,0.052,0.061,0.053,0.056,0.083,0.049,0.05,0.047,0.056,0.042,0.047,0.029,0.038,0.036,0.033,0.029,0.039,0.024,0.025,0.016,0.019,0.01,0.004,0.005,0.005,0.004"
m1348_normalized.obj,AircraftBuoyant,2.61552,0.61596,0.31253,1.95164,0.7249,15.59454,"0.034,0.071,0.065,0.106,0.075,0.064,0.053,0.041,0.045,0.036,0.037,0.036,0.026,0.028,0.023,0.017,0.028,0.021,0.026,0.021,0.024,0.018,0.026,0.016,0.015,0.021,0.01,0.011,0.004,0.002","0.058,0.054,0.076,0.073,0.055,0.042,0.044,0.028,0.043,0.023,0.028,0.02,0.028,0.027,0.026,0.028,0.035,0.026,0.022,0.021,0.023,0.018,0.022,0.025,0.023,0.033,0.043,0.018,0.016,0.022","0.012,0.017,0.031,0.041,0.068,0.05,0.081,0.07,0.076,0.05,0.054,0.043,0.053,0.038,0.042,0.028,0.043,0.041,0.019,0.026,0.022,0.02,0.014,0.012,0.013,0.011,0.008,0.007,0.006,0.004","0.003,0.007,0.006,0.007,0.009,0.016,0.029,0.03,0.032,0.038,0.043,0.052,0.048,0.05,0.061,0.063,0.062,0.061,0.063,0.065,0.05,0.041,0.043,0.044,0.028,0.021,0.013,0.005,0.005,0.005","0.003,0.003,0.007,0.023,0.02,0.018,0.027,0.034,0.04,0.05,0.071,0.058,0.068,0.054,0.047,0.071,0.056,0.057,0.063,0.046,0.043,0.044,0.027,0.028,0.02,0.01,0.006,0.003,0.001,0.002"
m1349_normalized.obj,AircraftBuoyant,2.47794,0.53131,0.28208,1.93181,0.60804,23.91666,"0.065,0.088,0.082,0.067,0.079,0.063,0.044,0.032,0.024,0.026,0.035,0.033,0.021,0.021,0.03,0.031,0.018,0.02,0.016,0.02,0.022,0.021,0.026,0.024,0.021,0.029,0.025,0.009,0.005,0.003","0.029,0.032,0.049,0.044,0.044,0.045,0.049,0.054,0.038,0.023,0.021,0.02,0.022,0.02,0.023,0.026,0.018,0.031,0.03,0.031,0.034,0.044,0.04,0.025,0.044,0.047,0.042,0.038,0.03,0.007","0.016,0.027,0.045,0.052,0.047,0.046,0.046,0.059,0.049,0.048,0.049,0.056,0.057,0.036,0.043,0.055,0.036,0.025,0.027,0.015,0.022,0.017,0.013,0.016,0.022,0.02,0.018,0.017,0.012,0.009","0.004,0.005,0.007,0.013,0.007,0.028,0.033,0.038,0.038,0.051,0.051,0.054,0.053,0.047,0.064,0.083,0.051,0.066,0.042,0.05,0.047,0.042,0.039,0.03,0.016,0.007,0.009,0.009,0.01,0.006","0.006,0.009,0.01,0.02,0.019,0.024,0.035,0.041,0.049,0.05,0.058,0.049,0.047,0.073,0.067,0.063,0.047,0.054,0.048,0.049,0.041,0.04,0.024,0.018,0.019,0.018,0.008,0.004,0.004,0.006"
m1350_normalized.obj,AircraftBuoyant,1.86972,0.53621,0.38197,1.59716,0.69478,10.81606,"0.072,0.067,0.064,0.052,0.06,0.045,0.05,0.04,0.039,0.043,0.05,0.039,0.032,0.048,0.04,0.028,0.026,0.022,0.025,0.017,0.026,0.031,0.02,0.024,0.013,0.016,0.004,0.003,0.003,0.001","0.004,0.006,0.107,0.27,0.116,0.016,0.02,0.041,0.031,0.041,0.032,0.039,0.025,0.022,0.03,0.017,0.028,0.021,0.008,0.005,0.008,0.006,0.005,0.003,0.008,0.021,0.021,0.014,0.026,0.009","0.061,0.044,0.03,0.037,0.066,0.081,0.051,0.043,0.075,0.095,0.076,0.042,0.029,0.008,0.016,0.017,0.012,0.011,0.021,0.041,0.041,0.028,0.022,0.009,0.007,0.01,0.006,0.007,0.008,0.006","0.01,0.023,0.035,0.038,0.068,0.058,0.036,0.055,0.032,0.025,0.031,0.04,0.052,0.055,0.057,0.051,0.035,0.024,0.033,0.036,0.044,0.029,0.024,0.022,0.017,0.021,0.016,0.016,0.009,0.008","0.015,0.03,0.049,0.051,0.048,0.054,0.053,0.062,0.053,0.053,0.06,0.032,0.046,0.042,0.033,0.026,0.042,0.029,0.03,0.044,0.037,0.027,0.021,0.014,0.013,0.014,0.012,0.004,0.004,0.002"
m1351_normalized.obj,AircraftBuoyant,1.79825,0.43857,0.54223,1.68724,0.88407,43.47395,"0.075,0.111,0.088,0.05,0.049,0.041,0.049,0.032,0.046,0.036,0.031,0.037,0.027,0.025,0.018,0.024,0.026,0.024,0.016,0.021,0.015,0.022,0.023,0.031,0.022,0.019,0.019,0.01,0.009,0.004","0.027,0.031,0.022,0.014,0.024,0.022,0.012,0.035,0.041,0.037,0.024,0.076,0.053,0.035,0.06,0.036,0.042,0.049,0.069,0.061,0.007,0.026,0.01,0.018,0.022,0.017,0.048,0.051,0.02,0.011","0.015,0.034,0.062,0.087,0.09,0.065,0.05,0.034,0.031,0.022,0.017,0.02,0.016,0.018,0.021,0.014,0.02,0.023,0.027,0.032,0.035,0.041,0.044,0.036,0.026,0.051,0.028,0.025,0.013,0.003","0.006,0.006,0.01,0.017,0.027,0.034,0.032,0.029,0.035,0.035,0.041,0.032,0.032,0.042,0.044,0.053,0.041,0.049,0.044,0.051,0.055,0.061,0.045,0.054,0.041,0.033,0.02,0.024,0.004,0.003","0.003,0.006,0.007,0.011,0.015,0.023,0.033,0.024,0.049,0.045,0.048,0.049,0.042,0.051,0.057,0.045,0.063,0.055,0.045,0.063,0.047,0.037,0.052,0.04,0.03,0.027,0.013,0.011,0.006,0.003"
m1352_normalized.obj,AircraftBuoyant,3.08668,0.55421,0.37018,1.84981,0.81475,17.9692,"0.041,0.056,0.06,0.059,0.08,0.052,0.059,0.057,0.039,0.029,0.03,0.036,0.035,0.031,0.034,0.03,0.029,0.022,0.018,0.018,0.027,0.031,0.021,0.026,0.026,0.026,0.017,0.004,0.003,0.004","0.001,0.026,0.029,0.081,0.106,0.066,0.041,0.02,0.033,0.02,0.023,0.02,0.026,0.031,0.027,0.038,0.024,0.028,0.042,0.04,0.051,0.035,0.039,0.001,0.036,0.034,0.033,0.042,0.006,0.001","0.016,0.029,0.044,0.039,0.053,0.04,0.052,0.042,0.041,0.062,0.042,0.058,0.047,0.067,0.052,0.046,0.032,0.028,0.018,0.034,0.019,0.012,0.022,0.02,0.02,0.015,0.015,0.024,0.007,0.004","0.006,0.002,0.014,0.024,0.027,0.034,0.032,0.033,0.021,0.045,0.038,0.049,0.042,0.057,0.052,0.051,0.045,0.056,0.043,0.051,0.052,0.046,0.045,0.038,0.043,0.021,0.018,0.013,0.001,0.001","0.002,0.004,0.006,0.017,0.025,0.016,0.023,0.044,0.043,0.04,0.044,0.059,0.055,0.055,0.065,0.066,0.069,0.063,0.05,0.042,0.045,0.034,0.035,0.033,0.021,0.015,0.012,0.012,0.003,0.002"
D00045_normalized.obj,Apartment,5.21527,0.00078,0.00075,1.84684,0.00131,3.50803,"0.019,0.033,0.043,0.06,0.066,0.052,0.062,0.061,0.054,0.066,0.049,0.063,0.047,0.059,0.034,0.046,0.039,0.026,0.027,0.023,0.018,0.021,0.01,0.003,0.006,0.007,0.003,0.0,0.002,0.001","0.008,0.013,0.013,0.046,0.065,0.058,0.069,0.131,0.15,0.128,0.141,0.08,0.044,0.038,0.009,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004","0.008,0.011,0.02,0.015,0.015,0.025,0.018,0.034,0.038,0.027,0.039,0.038,0.047,0.039,0.036,0.052,0.06,0.05,0.048,0.048,0.046,0.036,0.071,0.067,0.049,0.029,0.022,0.005,0.004,0.003","0.002,0.006,0.016,0.013,0.012,0.016,0.024,0.028,0.024,0.039,0.035,0.054,0.044,0.055,0.066,0.063,0.067,0.068,0.063,0.06,0.063,0.047,0.057,0.035,0.023,0.013,0.003,0.001,0.002,0.001","0.003,0.01,0.014,0.022,0.028,0.033,0.031,0.031,0.036,0.048,0.042,0.048,0.065,0.049,0.046,0.064,0.072,0.047,0.044,0.035,0.047,0.045,0.038,0.03,0.028,0.016,0.011,0.006,0.008,0.003"
D00086_normalized.obj,Apartment,4.19938,0.38812,0.42758,1.42897,0.81385,12.96756,"0.044,0.062,0.071,0.061,0.062,0.079,0.058,0.052,0.056,0.032,0.021,0.037,0.025,0.022,0.022,0.022,0.03,0.026,0.04,0.032,0.035,0.02,0.017,0.017,0.014,0.015,0.011,0.009,0.005,0.003","0.001,0.008,0.007,0.013,0.017,0.013,0.013,0.027,0.09,0.11,0.099,0.07,0.039,0.042,0.035,0.043,0.042,0.027,0.035,0.034,0.024,0.03,0.033,0.022,0.027,0.021,0.042,0.022,0.006,0.008","0.012,0.03,0.036,0.039,0.047,0.052,0.038,0.042,0.038,0.039,0.045,0.036,0.035,0.043,0.035,0.046,0.044,0.042,0.04,0.033,0.038,0.038,0.039,0.036,0.022,0.022,0.012,0.008,0.009,0.004","0.006,0.01,0.022,0.025,0.035,0.038,0.052,0.062,0.057,0.064,0.056,0.067,0.069,0.058,0.056,0.067,0.04,0.041,0.035,0.029,0.022,0.022,0.02,0.016,0.013,0.008,0.004,0.003,0.001,0.002","0.003,0.014,0.027,0.033,0.037,0.041,0.058,0.066,0.059,0.046,0.049,0.042,0.054,0.066,0.07,0.058,0.041,0.039,0.034,0.035,0.034,0.035,0.021,0.011,0.01,0.006,0.006,0.004,0.0,0.001"
D00138_normalized.obj,Apartment,8.23363,0.03595,0.15061,1.61451,0.16555,5.66857,"0.083,0.07,0.068,0.052,0.039,0.047,0.045,0.054,0.048,0.037,0.056,0.031,0.033,0.026,0.037,0.034,0.033,0.028,0.03,0.016,0.022,0.022,0.016,0.016,0.017,0.007,0.014,0.005,0.006,0.008","0.066,0.014,0.125,0.306,0.277,0.043,0.007,0.026,0.025,0.016,0.017,0.008,0.005,0.005,0.0,0.006,0.002,0.003,0.004,0.006,0.007,0.003,0.004,0.007,0.002,0.008,0.003,0.0,0.0,0.005","0.077,0.102,0.105,0.064,0.062,0.044,0.127,0.123,0.071,0.04,0.019,0.02,0.017,0.013,0.008,0.008,0.009,0.006,0.012,0.015,0.007,0.013,0.009,0.012,0.005,0.004,0.004,0.001,0.001,0.002","0.042,0.103,0.13,0.123,0.158,0.092,0.049,0.05,0.047,0.055,0.046,0.021,0.018,0.011,0.017,0.01,0.007,0.005,0.002,0.004,0.0,0.002,0.004,0.0,0.0,0.001,0.0,0.0,0.001,0.002","0.048,0.107,0.169,0.158,0.133,0.081,0.056,0.082,0.047,0.035,0.021,0.016,0.011,0.012,0.002,0.005,0.003,0.003,0.002,0.005,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001"
D00156_normalized.obj,Apartment,21.93571,0.00298,0.0124,1.91343,0.0193,4.97299,"0.018,0.024,0.04,0.067,0.068,0.064,0.053,0.062,0.081,0.066,0.057,0.044,0.051,0.049,0.042,0.046,0.039,0.027,0.023,0.016,0.016,0.015,0.01,0.006,0.004,0.003,0.003,0.004,0.001,0.001","0.003,0.0,0.005,0.002,0.0,0.001,0.005,0.014,0.019,0.033,0.028,0.032,0.024,0.04,0.045,0.038,0.06,0.066,0.11,0.071,0.068,0.07,0.087,0.085,0.055,0.03,0.007,0.0,0.001,0.001","0.003,0.008,0.008,0.007,0.02,0.022,0.04,0.039,0.038,0.046,0.042,0.047,0.04,0.04,0.048,0.034,0.045,0.05,0.039,0.048,0.051,0.056,0.057,0.043,0.035,0.03,0.026,0.021,0.009,0.008","0.007,0.005,0.014,0.014,0.015,0.019,0.028,0.044,0.03,0.041,0.046,0.06,0.048,0.062,0.053,0.056,0.058,0.061,0.046,0.057,0.04,0.044,0.036,0.029,0.033,0.022,0.017,0.008,0.003,0.004","0.003,0.001,0.012,0.017,0.024,0.024,0.04,0.035,0.043,0.038,0.059,0.075,0.066,0.062,0.064,0.068,0.049,0.057,0.051,0.051,0.034,0.039,0.029,0.017,0.012,0.016,0.007,0.006,0.0,0.001"
D00310_normalized.obj,Apartment,11.66796,0.01357,0.04627,1.91855,0.06347,9.9111,"0.015,0.048,0.072,0.068,0.067,0.074,0.049,0.057,0.037,0.056,0.05,0.04,0.033,0.05,0.036,0.03,0.034,0.035,0.017,0.019,0.023,0.021,0.02,0.011,0.01,0.015,0.003,0.005,0.003,0.002","0.004,0.005,0.007,0.01,0.012,0.008,0.019,0.038,0.057,0.057,0.045,0.042,0.039,0.044,0.051,0.027,0.035,0.053,0.027,0.023,0.033,0.036,0.041,0.069,0.08,0.06,0.039,0.016,0.013,0.01","0.006,0.01,0.029,0.026,0.037,0.045,0.047,0.056,0.057,0.068,0.064,0.06,0.059,0.047,0.054,0.037,0.032,0.05,0.027,0.03,0.028,0.015,0.018,0.02,0.017,0.023,0.023,0.006,0.008,0.001","0.002,0.006,0.006,0.012,0.011,0.026,0.035,0.029,0.043,0.043,0.05,0.065,0.063,0.073,0.07,0.07,0.049,0.065,0.05,0.047,0.04,0.047,0.025,0.024,0.02,0.014,0.009,0.003,0.002,0.001","0.004,0.015,0.015,0.015,0.034,0.027,0.037,0.052,0.036,0.052,0.064,0.052,0.061,0.062,0.054,0.051,0.061,0.057,0.041,0.052,0.042,0.035,0.022,0.019,0.011,0.014,0.01,0.001,0.002,0.002"
