name,class,vertices,faces,bbox,type
D00078.obj,Bicycle,4340,6251,-1.01698 0.86983 -0.5861262 0.74987453 -0.3650723 0.33666825,triangles
D00462.obj,Bicycle,4219,8099,-0.981278 0.933426 -0.5938254 0.611169 -0.27619472 0.2367243,triangles
D00514.obj,Bicycle,4262,7978,-1.000354 0.867701 -0.554131 0.6977226 -0.218428 0.17820626,triangles
D00536.obj,Bicycle,2637,5557,-0.88630635 1.0228046 -0.5517889 0.6796898 -0.45969385 0.43700692,triangles
D00555.obj,Bicycle,2855,5462,-0.9501149 0.97410315 -0.49481404 0.7583387 -0.3303525 0.35669285,triangles
D00558.obj,Bicycle,4352,8100,-1.01428 0.938784 -0.5394765 0.584583 -0.28237432 0.23380202,triangles
D00567.obj,Bicycle,4028,8100,-0.923799 0.991099 -0.503743 0.689679 -0.288646 0.266948,triangles
D00621.obj,Bicycle,4338,8100,-0.914804 0.956869 -0.720661 0.549773 -0.212118 0.175426,triangles
D00708.obj,Bicycle,4366,8099,-0.993872 0.942018 -0.56247 0.649391 -0.30696118 0.27980152,triangles
D00750.obj,Bicycle,4285,8100,-0.811559 1.10338 -0.818838 0.736372 -0.167292 0.439656,triangles
D00838.obj,Bicycle,4367,8099,-0.942974 0.971944 -0.638045 0.560247 -0.29714495 0.2833221,triangles
D00847.obj,Bicycle,2826,5825,-0.930261 0.973915 -0.5893335 0.732026 -0.36129874 0.36192325,triangles
D00904.obj,Bicycle,4130,8100,-0.959896 0.953013 -0.599316 0.637406 -0.196088 0.191298,triangles
D00930.obj,Bicycle,4247,7804,-0.737279 0.9914465 -0.50513256 0.852751 -0.3426 0.337158,triangles
D00931.obj,Bicycle,4385,8099,-0.9210729 0.84907556 -0.39925572 0.68408495 -0.432902 0.13562977,triangles
D00974.obj,Bicycle,4145,8100,-0.843326 1.05063 -0.583879 0.550897 -0.21073207 0.20933497,triangles
m1472.obj,Bicycle,4250,8099,0.025 0.406458 0.025 0.566816 0.025 0.975,triangles
m1473.obj,Bicycle,3801,5885,0.0250025 0.974997 0.025003 0.557643 0.025 0.314071,triangles
m1475.obj,Bicycle,4129,8100,0.025 0.975 0.025 0.513449 0.025 0.232333,triangles
m1476.obj,Bicycle,4028,8100,0.025 0.299675 0.025 0.574723 0.025 0.975,triangles
m1477.obj,Bicycle,4392,8100,0.026046 0.973957 0.025806334 0.6136905 0.025004914 0.37602976,triangles
m1478.obj,Bicycle,4338,8100,0.025 0.975 0.025 0.611666 0.025 0.223576,triangles
D00069.obj,Biplane,4176,8099,-1.06342 0.905137 -0.446842 0.553446 -0.198847 0.199738,triangles
D00132.obj,Biplane,4266,8099,-0.948872 0.947322 -0.416782 0.85261 -0.129309 0.255501,triangles
D00178.obj,Biplane,2963,6166,-0.579344 0.48412484 -0.46554774 0.5886029 -0.176893 0.09612339,triangles
D00199.obj,Biplane,10457,17948,-1.01653 0.915606 -0.386762 1.07596 -0.234302 0.339116,triangles
D00246.obj,Biplane,4281,7031,-0.98015815 0.9606704 -0.33547983 0.61877644 -0.18121515 0.13879861,triangles
D00276.obj,Biplane,4178,8100,-1.08018 0.699036 -0.864861 0.766394 -0.468883 0.477538,triangles
D00277.obj,Biplane,3829,6012,-0.558052 0.80521524 -1.0551811 0.8133668 -0.278621 0.26877433,triangles
D00320.obj,Biplane,3283,6581,-0.98417675 0.97772497 -0.7478667 0.4279894 -0.152266 0.30289167,triangles
D00373.obj,Biplane,4374,8100,-0.666583 0.8632465 -0.96762 0.930583 -0.376918 0.245878,triangles
D00410.obj,Biplane,4090,8100,-1.1498 0.772427 -0.571534 0.608046 -0.231691 0.173266,triangles
D00490.obj,Biplane,2776,5830,-0.84991986 0.96522796 -0.5510053 0.7108695 -0.23742211 0.20214306,triangles
D00515.obj,Biplane,4145,8099,-0.890078 0.687934 -0.889517 0.863811 -0.31532 0.254273,triangles
D00601.obj,Biplane,4046,8100,-0.80807626 0.8213972 -0.49520168 0.784118 -0.350501 0.447235,triangles
D00616.obj,Biplane,4278,8095,-1.03189 0.95107 -0.59550995 0.33984315 -0.19891186 0.18675035,triangles
D00632.obj,Biplane,4212,8099,-0.845186 0.628879 -0.93675 0.935701 -0.236713 0.317531,triangles
D00634.obj,Biplane,3403,6673,-0.954148 0.9742145 -0.73727494 0.78016376 -0.33659393 0.2520249,triangles
D00666.obj,Biplane,4111,7888,-1.22452 0.693364 -0.946743 0.962328 -0.266142 0.179309,triangles
D00854.obj,Biplane,4310,8100,-0.9674044 0.45438096 -0.9530058 0.980111 -0.19070597 0.354772,triangles
D00890.obj,Biplane,2848,5854,-0.8890341 0.88223606 -0.8391301 0.765767 -0.2592576 0.319933,triangles
D00900.obj,Biplane,2872,5747,-1.1841377 0.7959143 -0.8715347 0.47881177 -0.18019329 0.27604643,triangles
m1118.obj,Biplane,4281,8100,0.024991151 0.97500706 0.025 0.231623 0.025 0.52688414,triangles
m1119.obj,Biplane,4147,8100,0.025 0.975 0.025 0.379325 0.025 0.815271,triangles
m1120.obj,Biplane,3093,6658,0.024999999 0.975 0.024280714 0.37000316 0.047523 0.87827307,triangles
m1121.obj,Biplane,4198,8100,0.025 0.792248 0.025 0.975 0.025 0.328749,triangles
m1122.obj,Biplane,4282,8100,0.030385444 0.93572 0.025 0.975 0.0338683 0.30096537,triangles
m1123.obj,Biplane,4242,8100,0.025 0.697675 0.025 0.975 0.025 0.318427,triangles
m1124.obj,Biplane,4210,8099,0.025 0.633082 0.025 0.975 0.025 0.240746,triangles
m1125.obj,Biplane,4172,8071,0.025 0.799082 0.025 0.975 0.025 0.274375,triangles
m1126.obj,Biplane,4214,8100,0.025 0.788134 0.025 0.975 0.025 0.236106,triangles
m1127.obj,Biplane,4159,8100,0.025 0.811053 0.025 0.975 0.025 0.219704,triangles
m1128.obj,Biplane,4233,8100,0.025 0.975 0.025 0.967087 0.025 0.241951,triangles
m1129.obj,Biplane,4278,8100,0.025 0.975 0.024999777 0.34655112 0.025 0.699508,triangles
m1131.obj,Biplane,3879,7468,0.025 0.705618 0.025 0.975 0.025 0.196732,triangles
m1132.obj,Biplane,4275,8099,0.025 0.7227 0.025 0.975 0.025 0.209765,triangles
m1133.obj,Biplane,4214,8100,0.025 0.769747 0.025 0.975 0.025 0.311217,triangles
m1134.obj,Biplane,4203,8099,0.025 0.542388 0.025 0.975 0.025 0.1732,triangles
m1135.obj,Biplane,4264,8099,0.025 0.545907 0.025 0.975 0.025 0.181047,triangles
m1136.obj,Biplane,4149,8100,0.025 0.559108 0.025 0.975 0.025 0.233333,triangles
m1137.obj,Biplane,4247,8099,0.025 0.461983 0.025 0.975 0.025 0.199618,triangles
m1138.obj,Biplane,4074,7192,0.052495 0.975 0.025 0.907034 0.025 0.377887,triangles
m1139.obj,Biplane,8377,14688,0.025 0.647434 0.025 0.975 0.025050273 0.274384,triangles
m1141.obj,Biplane,4206,8100,0.025173 0.974827 0.025 0.310844 0.025 0.62003,triangles
m1143.obj,Biplane,4206,8100,0.025 0.504495 0.025 0.975 0.0249999 0.209713,triangles
m1144.obj,Biplane,3627,6736,0.025 0.975 0.025 0.716901 0.025 0.291304,triangles
m1146.obj,Biplane,4311,8100,0.025 0.88836 0.025 0.32216 0.025 0.975,triangles
D00089.obj,Bird,4052,8100,-1.16401 0.785119 -0.562623 0.507858 -0.314817 0.154772,triangles
D00113.obj,Bird,4070,8100,-0.99042505 0.73140323 -0.5673426 0.94047856 -0.55824167 0.6043327,triangles
D00164.obj,Bird,4166,8099,-0.69421417 1.1904027 -0.498351 0.60085666 -0.3995383 0.105716,triangles
D00234.obj,Bird,4068,8100,-0.928219 0.947521 -0.966801 0.625768 -0.185647 0.258145,triangles
D00271.obj,Bird,4347,8099,-1.1753988 0.72909755 -0.67632556 0.6317135 -0.19382522 0.20694155,triangles
D00284.obj,Bird,4064,8100,-1.17688 0.723095 -0.4226185 0.60884446 -0.26126096 0.202101,triangles
D00323.obj,Bird,4157,8100,-0.777682 1.19869 -0.188336 0.343315 -0.049014 0.043661,triangles
D00386.obj,Bird,4052,8100,-1.057619 0.810894 -0.286252 0.353767 -0.132731 0.073903,triangles
D00438.obj,Bird,4101,8099,-1.18694 0.786275 -0.545674 0.371307 -0.194944 0.064915,triangles
D00442.obj,Bird,2872,5496,-0.862405 0.91329974 -0.6208557 0.49080116 -0.372955 0.525607,triangles
D00546.obj,Bird,4298,8099,-1.23614 0.715362 -0.288082 0.408477 -0.248996 0.150496,triangles
D00599.obj,Bird,4107,8099,-1.20739 0.749861 -0.452237 0.290011 -0.05299 0.157614,triangles
D00625.obj,Bird,6646,10976,-0.757887 1.149855 -0.78777415 0.63741 -0.705727 0.286246,triangles
D00689.obj,Bird,4109,8100,-1.17894 0.767141 -0.377306 0.24427 -0.199 0.340818,triangles
D00736.obj,Bird,3947,7898,-1.17942 0.798489 -0.462894 0.49027 -0.198137 0.084683,triangles
D00762.obj,Bird,4052,8100,-1.0453 0.749594 -0.723664 0.858881 -0.387123 0.264739,triangles
D00862.obj,Bird,4055,8100,-0.750402 1.22133 -0.536856 0.40871 -0.406756 0.099096,triangles
D00922.obj,Bird,4056,8100,-0.724867 1.03105 -0.536531 0.78013 -0.391794 0.503437,triangles
D00961.obj,Bird,4095,8099,-1.190131 0.793 -0.684328 0.444631 -0.061147 0.192211,triangles
D00999.obj,Bird,4053,8100,-1.23089 0.765237 -0.317419 0.37941 -0.093164 0.178191,triangles
m28.obj,Bird,4199,8100,0.025 0.468681 0.025061 0.578224 0.025 0.975,triangles
m29.obj,Bird,4083,8100,0.025 0.346738 0.025 0.914682 0.025 0.975,triangles
m30.obj,Bird,4378,8448,0.025 0.35945 0.025 0.524749 0.025 0.975,triangles
m31.obj,Bird,4087,8100,0.025 0.500847 0.025 0.975 0.025 0.514588,triangles
m32.obj,Bird,4056,8100,0.025 0.382772 0.025 0.658333 0.025 0.975,triangles
m33.obj,Bird,4112,8100,0.025 0.541498 0.025 0.692456 0.025 0.975,triangles
m34.obj,Bird,4052,8100,0.025 0.975 0.025 0.257154 0.025 0.544293,triangles
m35.obj,Bird,4052,8100,0.025 0.792373 0.025 0.63608 0.025 0.975,triangles
m36.obj,Bird,4101,8100,0.025 0.944541 0.025 0.808922 0.025 0.975,triangles
m37.obj,Bird,4052,8100,0.025 0.975 0.025 0.437258 0.025 0.746203,triangles
m38.obj,Bird,4053,8100,0.025 0.975 0.025 0.260681 0.025 0.292609,triangles
m39.obj,Bird,4145,8100,0.025 0.883574 0.025 0.975 0.025 0.259557,triangles
m40.obj,Bird,4108,8099,0.025 0.975 0.025 0.284845 0.025 0.347879,triangles
m41.obj,Bird,4095,8099,0.025 0.975 0.025 0.147249 0.025 0.467716,triangles
m42.obj,Bird,4165,8100,0.03780175 0.842468 0.025 0.210109 0.025 0.497043,triangles
m43.obj,Bird,3752,7248,0.025 0.927106 0.025 0.606166 0.025 0.975,triangles
m44.obj,Bird,4052,8100,0.025 0.975 0.025 0.458833 0.025 0.2663,triangles
m45.obj,Bird,4056,8100,0.0251865 0.975 0.029010717 0.290304 0.02464972 0.486435,triangles
m47.obj,Bird,4121,8099,0.025 0.695803 0.025 0.148154 0.025 0.975,triangles
m48.obj,Bird,4104,8100,0.025 0.488025 0.025 0.456093 0.025 0.975,triangles
m49.obj,Bird,4220,8067,0.025 0.975 0.025 0.800992 0.025 0.691101,triangles
m50.obj,Bird,4052,8100,0.025 0.406048 0.025 0.564283 0.025 0.975,triangles
m51.obj,Bird,4060,8100,0.025 0.975 0.025 0.479684 0.025 0.551688,triangles
m52.obj,Bird,4182,8336,0.025 0.975 0.025 0.620667 0.025 0.909953,triangles
D01009.obj,Bookset,4363,6347,0.0 0.42 0.0 0.26 0.0 0.27,triangles
D01013.obj,Bookset,4186,6391,-0.050712 0.215194 0.207686 0.665613 0.0 0.2798,triangles
D01030.obj,Bookset,4323,6352,0.0 0.421721 -1e-16 0.306934 0.0 0.347472,triangles
D01038.obj,Bookset,4175,3815,4.969709 5.194114 3.424974 4.391839 0.37465 0.73787,triangles
D01042.obj,Bookset,3826,6169,-1.910849 -1.673169 0.678389 0.885973 -0.056548 0.221452,triangles
D01050.obj,Bookset,4365,6630,0.0 0.275274 0.0 0.28956 0.0 0.312328,triangles
D01065.obj,Bookset,3853,4807,3.387116 3.888541 0.448335 0.714241 -0.0004 0.2794,triangles
D01078.obj,Bookset,4370,5294,0.273999 0.580198 0.229734 0.350384 -2e-16 0.17145,triangles
D01096.obj,Bookset,3724,3583,0.0 0.534848 0.0 0.29726 0.0 0.300496,triangles
D01108.obj,Bookset,3692,4736,0.172618 0.333604 0.055124 0.453997 1.616471 1.889151,triangles
D01109.obj,Bookset,3664,3173,0.0 0.21717 0.0 0.306869 0.0 0.269177,triangles
D01110.obj,Bookset,4256,6800,0.0 0.268736 0.0 0.28956 0.0 0.347472,triangles
D01122.obj,Bookset,4390,7560,0.0 0.198004 -0.020638 0.105497 0.0 0.145403,triangles
D01135.obj,Bookset,3655,4567,-0.321083 10.181247 -0.21538767 4.3811975 -0.009347 5.036256,triangles
D01146.obj,Bookset,3732,2532,2.10781 2.82142 2.01541 2.3333 0.0 0.318973,triangles
D01182.obj,Bookset,4212,6227,-0.108086 0.072563 0.013947 0.246285 0.0 0.24173,triangles
D01183.obj,Bookset,4374,6299,1.038993 2.955486 -0.216593 0.965678 -8.1e-05 1.732628,triangles
D01184.obj,Bookset,3755,4980,0.0 0.191003 -0.0 0.230709 0.0 0.326618,triangles
D01190.obj,Bookset,5221,5292,1.2e-05 0.16435517 -2.411233 -1.676628 0.041233 0.31633526,triangles
D01199.obj,Bookset,3649,4365,0.0 13.521808 0.0 7.627565 -0.233235 7.392814,triangles
D00020.obj,Bottle,4111,8099,-0.790026 0.882518 -0.214855 0.221754 -0.229202 0.192811,triangles
D00123.obj,Bottle,4109,8100,-0.785998 0.781472 -0.272641 0.122641 -0.188644 0.175108,triangles
D00139.obj,Bottle,4079,8099,-0.918061 0.728216 -0.211906 0.193114 -0.194712 0.203996,triangles
D00166.obj,Bottle,4133,8100,-0.8153202 0.91972697 -0.3878197 0.44627345 -0.27287593 0.2842715,triangles
D00176.obj,Bottle,4052,8100,-0.7189262 0.9843372 -0.22924 0.32021 -0.268809 0.262583,triangles
D00208.obj,Bottle,4165,8100,-0.951203 0.75863 -0.268748 0.267936 -0.243702 0.250368,triangles
D00281.obj,Bottle,3925,6330,-0.803887 0.904402 -0.328824 0.192929 -0.284716 0.233906,triangles
D00311.obj,Bottle,4163,8099,-0.831219 0.878387 -0.338461 0.349036 -0.336791 0.344165,triangles
D00347.obj,Bottle,3977,7674,-1.01519 0.565986 -0.171 0.262845 -0.213249 0.218416,triangles
D00350.obj,Bottle,4092,8100,-0.894669 0.867081 -0.219912 0.226588 -0.214901 0.262761,triangles
D00390.obj,Bottle,4166,8100,-0.598016 0.998903 -0.500791 0.328432 -0.411989 0.406055,triangles
D00451.obj,Bottle,3781,7589,-0.608839 0.952938 -0.46154106 0.284476 -0.3563451 0.33342582,triangles
D00679.obj,Bottle,4359,8100,-0.9069693 0.80949074 -0.229951 0.305606 -0.271177 0.25847,triangles
D00696.obj,Bottle,4260,8100,-1.0444866 0.65320337 -0.15492502 0.3020985 -0.20046398 0.2098374,triangles
D00711.obj,Bottle,4106,8099,-0.859195 1.04485 -0.381496 0.461388 -0.401455 0.427899,triangles
D00716.obj,Bottle,4035,8100,-0.881118 0.954585 -0.445327 0.519924 -0.163849 0.155909,triangles
D00726.obj,Bottle,4181,8100,-1.36136 0.6006419 -0.332344 0.276589 -0.318716 0.290957,triangles
D00892.obj,Bottle,4054,8100,-0.674448 1.01623 -0.151915 0.287525 -0.214476 0.213408,triangles
D00940.obj,Bottle,4163,8099,-1.07424 0.731591 -0.303107 0.475795 -0.398902 0.372505,triangles
D00959.obj,Bottle,4143,8100,-0.808843 0.69574 -0.275198 0.10899 -0.198302 0.186067,triangles
m482.obj,Bottle,4249,8099,0.025 0.289643 0.025 0.975 0.025 0.292987,triangles
m483.obj,Bottle,3941,7456,0.025 0.261391 0.025 0.975 0.025 0.261391,triangles
m484.obj,Bottle,4067,8100,0.025 0.288882 0.025 0.975 0.025 0.28906,triangles
m485.obj,Bottle,4228,8099,0.025 0.289643 0.025 0.975 0.025 0.289643,triangles
m486.obj,Bottle,4394,8416,0.025 0.301499 0.025 0.975 0.025 0.302639,triangles
m487.obj,Bottle,4151,8100,0.025 0.313404 0.025 0.975 0.025 0.313404,triangles
m488.obj,Bottle,4052,8100,0.025 0.975 0.025 0.375332 0.025 0.375214,triangles
m489.obj,Bottle,4145,8099,0.025 0.343244 0.025 0.975 0.025 0.328845,triangles
m490.obj,Bottle,4105,7978,0.025 0.363345 0.025 0.975 0.025 0.363345,triangles
m491.obj,Bottle,4117,8100,0.025 0.549945 0.025 0.975 0.025 0.465025,triangles
m492.obj,Bottle,3979,7956,0.025 0.295008 0.025 0.295005 0.025 0.975,triangles
m382.obj,BuildingNonResidential,4127,8099,0.025 0.944817 0.025 0.670641 0.025 0.975,triangles
m383.obj,BuildingNonResidential,4163,8100,0.025 0.63328 0.025 0.975 0.025 0.588135,triangles
m384.obj,BuildingNonResidential,12056,20730,0.025 0.975 0.025 0.289902 0.025 0.871086,triangles
