name,class,vertices,faces,bbox
m78.obj,AquaticAnimal,3803,9357,0.0321556 0.975 0.025 0.51665 0.025 0.428181
m79.obj,AquaticAnimal,3149,5494,0.0250025 0.9641289 0.025 0.256171 0.025 0.300958
m80.obj,AquaticAnimal,3624,9285,0.025 0.975 0.025 0.3021721 0.025 0.4124264
m81.obj,AquaticAnimal,3198,6245,0.0332189 0.4145 0.025 0.291 0.0324873 0.975
D00031.obj,Bed,1940,7615,-0.6704057 0.9260261 -0.7028316 0.7211695 -0.2601969 0.3098349
D00110.obj,Bed,3847,8745,-0.8889 0.75223 -0.718484 0.524562 -0.220014 0.339705
D00121.obj,Bed,1103,2217,-0.91228276 0.7857897 -0.59966916 0.858504 -0.48191786 0.46315584
D00184.obj,Bed,1772,3796,-0.937684 0.750002 -0.891329 0.664602 -0.466361 0.341943
D00210.obj,Bed,3441,6725,-0.6683608 0.8173258 -0.5356909 0.866731 -0.4127349 0.5464502
D00213.obj,Bed,2898,7156,-0.9550608 0.7420175 -0.3590239 0.5016342 -0.3755539 0.275625
D00217.obj,Bed,1268,3624,-0.842601 0.881592 -0.54509 0.411619 -0.3036949 0.4224691
D00307.obj,Bed,2178,7726,-0.8149583 0.9815381 -0.833938 0.8638032 -0.2133979 0.3853675
D00322.obj,Bed,999,1806,-0.9431401 0.86400104 -0.41553563 0.59924525 -0.52091414 0.520568
D00417.obj,Bed,2281,4751,-0.8007908 0.7960461 -0.5093959 0.668083 -0.37507114 0.302302
D00538.obj,Bed,623,1280,-0.83786184 0.83844 -0.47920388 0.702218 -0.325688 0.41121674
D00545.obj,Bed,1645,7185,-0.832734 0.8640527 -0.47967 0.7351843 -0.3981192 0.3379669
D00552.obj,Bed,1147,2478,-1.056945 0.489625 -0.719045 0.71651 -0.464456 0.232915
D00565.obj,Bed,4139,10362,-1.08588 0.602982 -0.605613 0.718594 -0.375019 0.180431
D00650.obj,Bed,3753,7433,-0.863733 0.833154 -0.550605 0.377532 -0.421559 0.282019
D00735.obj,Bed,3386,8084,-0.644923 1.11344 -0.684425 0.73777 -0.312594 0.476146
D00836.obj,Bed,2917,7974,-0.795864 0.919097 -0.365307 0.512459 -0.3045962 0.5978484
D00839.obj,Bed,2129,5231,-0.8006537 0.864395 -0.87725335 0.56977206 -0.35191703 0.290712
D00969.obj,Bed,3240,6152,-0.90787697 0.798208 -0.928304 0.570205 -0.46498844 0.37873906
D00988.obj,Bed,538,1177,-0.867888 0.815509 -0.726326 0.426407 -0.5176057 0.2087914
m945.obj,Bed,2704,5638,0.025 0.740004 0.025 0.813378 0.025 0.975
m946.obj,Bed,3082,8041,0.025 0.494149 0.025 0.494147 0.0249929 0.975
m947.obj,Bed,2904,8013,0.025002 0.721994 0.0249644 0.445454 0.0249553 0.9750104
m948.obj,Bed,1132,2198,0.025 0.975 0.025 0.893382 0.025075 0.9613335
m949.obj,Bed,3214,8023,0.025 0.956207 0.025 0.975 0.0249935 0.4899675
m950.obj,Bed,2101,7561,0.0301954 0.7652882 0.024894 0.8892411 0.0279737 0.971325
m951.obj,Bed,3167,8016,0.025 0.7979379 0.025 0.536752 0.025 0.9750021
D00016.obj,Bicycle,1357,5372,-0.914299 0.959955 -0.4405138 0.818183 -0.209935 0.177847
D00033.obj,Bicycle,1720,5331,-1.065175 0.878724 -0.389271 0.7045225 -0.2815325 0.3099666
D00040.obj,Bicycle,1336,2681,-0.94097 0.963824 -0.458162 0.744808 -0.317615 0.31622592
D00077.obj,Bicycle,2025,5142,-0.84693533 1.0448126 -0.65842694 0.48702478 -0.36372846 0.28887346
D00078.obj,Bicycle,1970,4301,-1.01698 0.86983 -0.5970439 0.758111 -0.3650723 0.358326
D00462.obj,Bicycle,1674,4500,-0.981278 0.933426 -0.5938254 0.611169 -0.27619472 0.2367243
D00514.obj,Bicycle,1379,3133,-1.000354 0.867701 -0.554131 0.6977226 -0.218428 0.17820626
D00536.obj,Bicycle,1950,4681,-0.88630635 1.0228046 -0.5517889 0.6796898 -0.45969385 0.43700692
D00555.obj,Bicycle,1868,3827,-0.95309335 0.97463804 -0.49481404 0.7583387 -0.3334364 0.35669285
D00558.obj,Bicycle,2305,5396,-1.01428 0.938784 -0.5394765 0.584583 -0.28237432 0.23380202
D00567.obj,Bicycle,2895,5437,-0.9237614 0.9910759 -0.4967239 0.689679 -0.2885656 0.266696
D00621.obj,Bicycle,1396,5445,-0.914804 0.956869 -0.720661 0.549773 -0.212118 0.1753867
D00708.obj,Bicycle,1780,4093,-0.993872 0.942018 -0.56247 0.64936 -0.30683783 0.27980152
D00750.obj,Bicycle,2800,9016,-0.8115293 1.10338 -0.818838 0.736372 -0.167292 0.439656
D00838.obj,Bicycle,1774,4055,-0.942974 0.971944 -0.637998 0.560247 -0.29687494 0.28319868
D00847.obj,Bicycle,2003,4511,-0.932407 0.973915 -0.5893335 0.732026 -0.36129874 0.36192325
D00904.obj,Bicycle,1216,2796,-0.959896 0.953013 -0.599316 0.637406 -0.196088 0.191298
D00930.obj,Bicycle,2281,4977,-0.737279 0.9914465 -0.50513256 0.852751 -0.34247646 0.33713144
D00931.obj,Bicycle,1957,4208,-0.9210729 0.84907556 -0.39925572 0.68408495 -0.432902 0.13556078
D00974.obj,Bicycle,944,2278,-0.843326 1.05063 -0.583879 0.550897 -0.21058175 0.20921232
m1472.obj,Bicycle,2670,4397,0.025 0.406458 0.025 0.566816 0.025 0.975
m1473.obj,Bicycle,1689,5025,0.0250025 0.974997 0.025003 0.557643 0.025 0.314071
m1475.obj,Bicycle,903,2004,0.025 0.975 0.025 0.513449 0.025 0.232333
m1476.obj,Bicycle,3246,6002,0.025 0.299675 0.025 0.574723 0.025 0.975
m1477.obj,Bicycle,2022,4401,0.025 0.975 0.025 0.6136905 0.025004914 0.37602976
m1478.obj,Bicycle,1441,5577,0.025 0.975 0.0250538 0.611666 0.0250022 0.223576
D00069.obj,Biplane,3047,10930,-1.06342 0.905137 -0.4468382 0.553446 -0.198847 0.1996579
D00132.obj,Biplane,1855,7209,-0.945671 0.9456242 -0.4145553 0.8362321 -0.1287743 0.2425371
D00178.obj,Biplane,977,2052,-0.580523 0.487153 -0.469202 0.592445 -0.176893 0.125855
D00199.obj,Biplane,4171,11321,-1.0164902 0.915606 -0.3888221 1.07596 -0.234302 0.339116
D00246.obj,Biplane,765,1522,-0.9845935 0.9988765 -0.39592764 0.632043 -0.193048 0.139079
D00276.obj,Biplane,2482,7300,-1.08018 0.6924789 -0.854594 0.766394 -0.4688798 0.4622889
D00277.obj,Biplane,1209,2832,-0.558052 0.80521524 -1.0551811 0.8133668 -0.278621 0.26877433
D00320.obj,Biplane,2377,5182,-0.990106 0.984606 -0.750759 0.4279894 -0.152266 0.30289167
D00373.obj,Biplane,1072,2469,-0.666583 0.863207 -0.96762 0.930583 -0.3765749 0.245878
D00410.obj,Biplane,1552,3687,-1.1498 0.772427 -0.571534 0.608046 -0.231691 0.173266
D00490.obj,Biplane,1600,3986,-0.858495 0.9707055 -0.5550643 0.7108695 -0.26493528 0.21387321
D00515.obj,Biplane,1719,3836,-0.890078 0.687934 -0.889517 0.863811 -0.31532 0.254273
D00601.obj,Biplane,1434,3126,-0.80807626 0.8213972 -0.49520168 0.784118 -0.35035264 0.447235
D00616.obj,Biplane,2233,4862,-1.03189 0.95107 -0.59550995 0.33984315 -0.19891186 0.18675035
D00632.obj,Biplane,4048,10296,-0.8302143 0.6288528 -0.9367213 0.935701 -0.2366707 0.317262
D00634.obj,Biplane,2935,5868,-0.957937 0.9767361 -0.73727494 0.78016376 -0.33659393 0.25957897
D00666.obj,Biplane,3681,9471,-1.22452 0.6933241 -0.9466186 0.9623138 -0.266142 0.179309
D00854.obj,Biplane,1303,3049,-0.9674044 0.45438096 -0.9530058 0.980111 -0.19070597 0.354772
D00890.obj,Biplane,2114,4366,-0.8890341 0.88223606 -0.8391301 0.765767 -0.2592576 0.319933
D00900.obj,Biplane,1782,3755,-1.1841377 0.80598056 -0.8973585 0.47881177 -0.18019329 0.27604643
m1118.obj,Biplane,2634,6200,0.02499292 0.97500706 0.0250825 0.231623 0.025 0.52688414
m1119.obj,Biplane,2340,7272,0.0289227 0.974978 0.0254537 0.36818 0.0283148 0.8152698
m1120.obj,Biplane,2175,5588,0.025 0.975 0.024280714 0.37000316 0.047523 0.89087754
m1121.obj,Biplane,4275,11557,0.0277373 0.792248 0.025 0.975 0.025 0.3221483
m1122.obj,Biplane,885,1736,0.025 0.93572 0.025 0.975 0.025 0.3044885
m1123.obj,Biplane,2641,7161,0.0294959 0.697675 0.0248686 0.9751315 0.0294795 0.3136643
m1124.obj,Biplane,4324,11450,0.0365481 0.633082 0.025 0.975 0.025 0.240746
m1125.obj,Biplane,2480,7315,0.0250349 0.799082 0.0240994 0.9759005 0.0250092 0.274218
m1126.obj,Biplane,2295,7049,0.0313307 0.788134 0.0 0.9750001 0.0250001 0.236106
m1127.obj,Biplane,3777,10792,0.025 0.811053 0.025 0.975 0.025 0.2196805
m1128.obj,Biplane,3705,9335,0.025 0.975 0.025 0.967087 0.0261005 0.241951
m1129.obj,Biplane,3171,8460,0.025 0.9749959 0.0250003 0.346551 0.0250214 0.6994988
m1131.obj,Biplane,4175,11690,0.025 0.705618 0.025 0.975 0.025085 0.196732
m1132.obj,Biplane,4076,15074,0.025 0.7227 0.025 0.975 0.028708 0.2096523
m1133.obj,Biplane,4055,9903,0.025 0.769747 0.025 0.975 0.025 0.311217
m1134.obj,Biplane,3758,13604,0.025 0.542388 0.025 0.975 0.0250564 0.1732
m1135.obj,Biplane,2271,7617,0.0248294 0.545907 0.0245015 0.9754985 0.0296466 0.1809757
m1136.obj,Biplane,2096,5935,0.031335 0.559108 0.0250366 0.9749634 0.0329851 0.233333
m1137.obj,Biplane,3899,11123,0.025 0.461983 0.025 0.975 0.0324579 0.199618
m1138.obj,Biplane,1552,3582,0.052495 0.975 0.025 0.907034 0.025 0.377838
m1139.obj,Biplane,1862,4753,0.025 0.647434 0.025 0.975 0.0250451 0.274384
m1141.obj,Biplane,2030,4330,0.025173 0.974827 0.025 0.310844 0.025 0.62003
m1143.obj,Biplane,3017,11461,0.025 0.504495 0.025 0.975 0.0250063 0.209713
m1144.obj,Biplane,3646,6717,0.025 0.975 0.025 0.716901 0.025 0.291304
m1146.obj,Biplane,1507,3313,0.025 0.88836 0.025 0.32216 0.025 0.975
D00089.obj,Bird,2625,5425,-1.1274278 0.7850533 -0.562623 0.507858 -0.314817 0.1496968
D00113.obj,Bird,2918,7137,-0.99042505 0.73140323 -0.5673426 0.94047856 -0.55824167 0.6043327
D00164.obj,Bird,2344,5473,-0.69421417 1.1904027 -0.498351 0.60085666 -0.3995383 0.105716
D00234.obj,Bird,2952,5644,-0.928219 0.947521 -0.9666253 0.5799783 -0.1804561 0.2579933
D00271.obj,Bird,2014,5040,-1.1753988 0.72909755 -0.67632556 0.6317135 -0.19382522 0.20694155
D00284.obj,Bird,2193,5073,-1.17688 0.723039 -0.4226185 0.60884446 -0.26126096 0.2020462
D00323.obj,Bird,1023,2098,-0.777682 1.1986424 -0.188336 0.3246314 -0.0429072 0.043023
D00386.obj,Bird,3468,7180,-1.052362 0.801092 -0.286252 0.3537449 -0.132731 0.0648943
D00438.obj,Bird,2558,5262,-1.1704313 0.7718878 -0.545674 0.3578571 -0.1936554 0.0640126
D00442.obj,Bird,2057,5577,-0.873499 0.91329974 -0.6208557 0.50558114 -0.3770651 0.525607
D00546.obj,Bird,2469,5651,-1.23614 0.715362 -0.2681256 0.408477 -0.248996 0.150496
D00599.obj,Bird,2001,3861,-1.20739 0.749861 -0.452237 0.2548015 -0.05299 0.137869
D00625.obj,Bird,1995,4471,-0.757887 1.1362212 -0.803401 0.63741 -0.6970755 0.2781306
D00689.obj,Bird,2474,6794,-1.17894 0.767141 -0.377306 0.24427 -0.199 0.3406805
D00736.obj,Bird,3989,7820,-1.17942 0.798489 -0.462894 0.49027 -0.198137 0.084683
D00762.obj,Bird,3384,6526,-1.0452781 0.7339028 -0.7057602 0.7077674 -0.3692335 0.2612425
D00862.obj,Bird,3792,10672,-0.750402 1.22133 -0.536856 0.3939421 -0.406756 0.0990067
D00922.obj,Bird,4201,11216,-0.724867 1.03105 -0.526751 0.78013 -0.391794 0.5031613
D00961.obj,Bird,2452,4703,-1.1603175 0.7610857 -0.684328 0.444631 -0.0584442 0.192211
D00999.obj,Bird,1939,3438,-1.2152833 0.765237 -0.3074903 0.37933 -0.0930425 0.1490633
m28.obj,Bird,1838,3720,0.025 0.468681 0.025061 0.578224 0.025 0.975
m29.obj,Bird,2899,7079,0.0252304 0.3465076 0.02699 0.9139718 0.0324989 0.972876
m30.obj,Bird,2808,6754,0.025 0.35945 0.0279566 0.5190045 0.025 0.9564194
m31.obj,Bird,3265,7045,0.025 0.500847 0.0395752 0.975 0.025 0.514588
m32.obj,Bird,2646,6651,0.0334011 0.3743709 0.0290255 0.658295 0.0322313 0.9663904
m33.obj,Bird,2639,6812,0.0297297 0.5367758 0.0250231 0.692436 0.025 0.9786873
m34.obj,Bird,2659,4863,0.025 0.9546985 0.0264 0.2562653 0.025 0.544293
m35.obj,Bird,3513,8001,0.025 0.7923591 0.025 0.6360785 0.025 0.975
m36.obj,Bird,4389,10500,0.025 0.944541 0.025 0.808922 0.025 0.975
m37.obj,Bird,4030,10867,0.025 0.975 0.025 0.437258 0.030426 0.7397386
m38.obj,Bird,1902,3708,0.025 0.975 0.0250403 0.2556036 0.0427365 0.2869665
m39.obj,Bird,3851,10226,0.025 0.883574 0.025 0.975 0.025 0.259557
m40.obj,Bird,2457,6692,0.025 0.975 0.025 0.284845 0.025 0.347879
m41.obj,Bird,2350,4377,0.03135 0.9682441 0.0256471 0.1465599 0.025 0.467716
m42.obj,Bird,2035,3604,0.0998075 0.8339015 0.0581238 0.210109 0.0384172 0.4796591
m43.obj,Bird,1120,2046,0.025 0.9023359 0.025 0.5975029 0.025 0.975
m44.obj,Bird,3298,6904,0.025 0.975 0.0297144 0.458833 0.025108 0.259419
m45.obj,Bird,2254,5103,0.0251865 0.975 0.029010717 0.290304 0.02464972 0.486435
m47.obj,Bird,1812,3146,0.025 0.680344 0.025 0.1481134 0.025 0.9676352
m48.obj,Bird,3794,8065,0.025 0.488025 0.025 0.456093 0.025 0.975
m49.obj,Bird,3892,8099,0.025 0.9749975 0.0250042 0.800992 0.025 0.691101
m50.obj,Bird,3499,8044,0.025 0.406048 0.025 0.564283 0.025 0.975
m51.obj,Bird,3595,8063,0.025 0.975 0.025 0.479684 0.025 0.551688
m52.obj,Bird,3363,7428,0.0331427 0.9204556 0.025 0.620667 0.025 0.909953
D01009.obj,Bookset,432,528,0.0 0.42 0.0 0.26 0.0 0.27
D01013.obj,Bookset,4000,7283,-0.050712 0.215194 0.207686 0.665613 0.0 0.2798
D01030.obj,Bookset,3531,8017,0.0 0.421721 0.0 0.306934 0.0 0.347472
D01038.obj,Bookset,1504,2141,4.97012 5.194114 3.424974 4.391839 0.37465 0.73787
D01042.obj,Bookset,275,198,-1.910849 -1.673169 0.678389 0.885973 -0.056548 0.221452
D01050.obj,Bookset,3702,8092,0.0 0.275274 0.0 0.28956 0.0 0.318973
D01065.obj,Bookset,4000,7292,3.387116 3.888541 0.448335 0.714241 -0.0004 0.2794
D01078.obj,Bookset,1021,1161,0.273999 0.5793691 0.229734 0.350384 0.0 0.17145
D01096.obj,Bookset,4000,6353,0.0 0.534848 0.0 0.29726 0.0 0.300496
D01108.obj,Bookset,1265,2053,0.172618 0.333604 0.055124 0.453997 1.616453 1.889558
D01109.obj,Bookset,1101,1292,0.0 0.21717 0.0 0.3059047 0.0 0.269177
D01110.obj,Bookset,3497,8082,0.0 0.268736 0.0 0.28956 0.0 0.347472
D01122.obj,Bookset,3999,8013,0.0 0.198004 -0.020638 0.105497 0.0 0.145403
D01135.obj,Bookset,893,1540,-0.321083 10.181389 -0.2153713 4.3811646 -0.009347 5.036256
D01146.obj,Bookset,614,360,2.26339 2.53892 2.04349 2.3333 0.0 0.318973
D01182.obj,Bookset,3297,8055,-0.108086 0.072563 0.013947 0.246285 0.0 0.24173
D01183.obj,Bookset,518,467,1.038993 2.955486 -0.216593 0.965678 -8.1e-05 1.732628
D01184.obj,Bookset,3304,7924,0.0 0.191003 -0.0 0.230709 -3e-07 0.326618
D01190.obj,Bookset,1539,2902,1.2e-05 0.1643629 -2.411233 -1.676628 0.041233 0.3163573
D01199.obj,Bookset,3680,8038,0.0 13.521808 0.0 7.627565 -0.233235 7.392814
D00020.obj,Bottle,3610,8366,-0.7900239 0.882518 -0.214855 0.221754 -0.2290437 0.1925978
D00123.obj,Bottle,3757,8539,-0.785998 0.781472 -0.272641 0.1225675 -0.188644 0.1750692
D00139.obj,Bottle,3311,8095,-0.918061 0.728216 -0.211906 0.193114 -0.194712 0.203996
D00166.obj,Bottle,3648,7274,-0.8153202 0.91972697 -0.3878197 0.44627345 -0.27287593 0.2842715
D00176.obj,Bottle,2352,7619,-0.7189262 0.9843372 -0.22924 0.32021 -0.268809 0.262583
D00208.obj,Bottle,3342,8094,-0.9511961 0.75863 -0.268748 0.2679134 -0.2436915 0.250368
D00281.obj,Bottle,3487,8000,-0.8038561 0.9043872 -0.328824 0.192929 -0.284716 0.233906
D00311.obj,Bottle,3267,7401,-0.831219 0.8775659 -0.338461 0.349036 -0.336791 0.344165
D00347.obj,Bottle,3438,8066,-1.0151877 0.5659865 -0.171 0.262845 -0.213249 0.218416
D00350.obj,Bottle,3032,7925,-0.8946269 0.867081 -0.219912 0.226588 -0.214901 0.262761
D00390.obj,Bottle,3814,8092,-0.598016 0.9988959 -0.500791 0.328432 -0.411989 0.406055
D00451.obj,Bottle,2575,5630,-0.608839 0.952938 -0.46154106 0.284476 -0.3563451 0.33342582
D00679.obj,Bottle,2798,6237,-0.9069693 0.80949074 -0.229951 0.305606 -0.271177 0.25847
D00696.obj,Bottle,2519,5711,-1.0444866 0.65320337 -0.15492502 0.3020985 -0.20046398 0.2098374
D00711.obj,Bottle,3994,8091,-0.8591938 1.0448438 -0.381496 0.461388 -0.401455 0.427899
D00716.obj,Bottle,2891,7442,-0.8784642 0.954585 -0.445327 0.5198659 -0.163849 0.155909
D00726.obj,Bottle,1081,2301,-1.36136 0.6006419 -0.33234388 0.276589 -0.318716 0.290957
D00892.obj,Bottle,2680,7556,-0.6745035 1.0150558 -0.151915 0.2858541 -0.214541 0.2134284
D00940.obj,Bottle,3456,8078,-1.07424 0.731591 -0.303107 0.475795 -0.398902 0.372505
D00959.obj,Bottle,2437,7370,-0.808843 0.69574 -0.275198 0.10899 -0.1976029 0.186067
m482.obj,Bottle,2884,7925,0.0249995 0.2896723 0.0249947 0.9752836 0.0249884 0.2929875
m483.obj,Bottle,2776,7999,0.025 0.2613918 0.02499 0.9751004 0.025 0.2613918
m484.obj,Bottle,4274,9683,0.025 0.288882 0.025 0.975 0.025 0.28906
m485.obj,Bottle,2931,7879,0.0249942 0.2896433 0.024998 0.9753551 0.0249871 0.289643
m486.obj,Bottle,3051,7998,0.025 0.301499 0.0249739 0.9753566 0.025 0.302639
m487.obj,Bottle,3536,8088,0.025 0.313404 0.025 0.975 0.025 0.313404
m488.obj,Bottle,3462,8043,0.025 0.975 0.025 0.375332 0.025 0.375214
m489.obj,Bottle,3307,7938,0.025 0.343244 0.0249312 0.9756444 0.025 0.328845
m490.obj,Bottle,3238,8043,0.0250228 0.3633212 0.025 0.975 0.0250237 0.3633339
m491.obj,Bottle,3615,7962,0.025 0.549945 0.025 0.9750009 0.025 0.465025
m492.obj,Bottle,3525,8080,0.025 0.295008 0.025 0.295005 0.025 0.975
m382.obj,BuildingNonResidential,4145,9285,0.025 0.944817 0.025 0.670641 0.025 0.975
m383.obj,BuildingNonResidential,3834,10797,0.025 0.63328 0.025 0.975 0.025 0.588135
m384.obj,BuildingNonResidential,4374,9896,0.025 0.975 0.025 0.289902 0.025 0.871086
m385.obj,BuildingNonResidential,3521,8009,0.025 0.899 0.025 0.9692747 0.025 0.626562
m386.obj,BuildingNonResidential,3291,8054,0.025 0.950794 0.0250064 0.975 0.0249997 0.940744
m387.obj,BuildingNonResidential,1907,7702,0.025 0.975 0.024384 0.4233217 0.0249972 0.9203777
m389.obj,BuildingNonResidential,2106,7586,0.025 0.74158 0.0152167 0.900488 0.025 0.650205
m390.obj,BuildingNonResidential,3402,8062,0.025 0.846817 0.032235 0.752337 0.025 0.952219
m391.obj,BuildingNonResidential,2876,7534,0.025 0.608136 0.025 0.804944 0.0 0.9749967
m392.obj,BuildingNonResidential,3041,8075,0.025 0.816667 0.025 0.975 0.025 0.341667
m393.obj,BuildingNonResidential,2759,7913,0.025 0.975 0.025 0.635937 0.025 0.8477486
m394.obj,BuildingNonResidential,2909,7819,0.024887 0.8986588 0.025 0.975 0.0247642 0.898642
m395.obj,BuildingNonResidential,2832,7702,0.025 0.928504 0.0249938 0.9654461 0.025 0.975
m396.obj,BuildingNonResidential,2765,7307,0.025 0.949627 0.025 0.975 0.0 0.825751
m397.obj,BuildingNonResidential,3392,8015,0.025 0.975 0.025 0.9274931 0.025 0.974999
m398.obj,BuildingNonResidential,3711,8099,0.025 0.870248 0.025 0.642704 0.025 0.975
m399.obj,BuildingNonResidential,1778,3392,0.025 0.975 0.025 0.60767996 0.025 0.971631
