name,class,compactnessObj,rectangularityObj,convexityObj
m1475_normalized.obj,Bicycle,0.06084,0.02784,0.0954
m1476_normalized.obj,Bicycle,0.06017,0.01126,0.03205
m1477_normalized.obj,Bicycle,0.04075,0.00689,0.02059
m1478_normalized.obj,Bicycle,0.03372,0.00902,0.01981
D00069_normalized.obj,Biplane,0.02035,0.03129,0.05775
D00132_normalized.obj,Biplane,0.01676,0.01226,0.02922
D00178_normalized.obj,Biplane,0.12813,0.02974,0.07604
D00199_normalized.obj,Biplane,0.09934,0.02661,0.06776
D00246_normalized.obj,Biplane,0.07024,0.00674,0.0169
D00276_normalized.obj,Biplane,0.12129,0.06281,0.13581
D00277_normalized.obj,Biplane,0.05282,0.01312,0.04106
D00320_normalized.obj,Biplane,0.07579,0.0244,0.07256
D00373_normalized.obj,Biplane,0.08304,0.03659,0.09508
D00410_normalized.obj,Biplane,0.09023,0.07336,0.1794
D00490_normalized.obj,Biplane,0.05043,0.01506,0.03539
D00515_normalized.obj,Biplane,0.07495,0.04055,0.10151
D00601_normalized.obj,Biplane,0.10079,0.06212,0.14575
D00616_normalized.obj,Biplane,0.02499,0.01603,0.03755
D00632_normalized.obj,Biplane,0.11252,0.04269,0.10424
D00634_normalized.obj,Biplane,0.07858,0.02404,0.0609
D00666_normalized.obj,Biplane,0.11063,0.05813,0.12808
D00854_normalized.obj,Biplane,0.03129,0.01409,0.03286
D00890_normalized.obj,Biplane,0.06152,0.01362,0.03248
D00900_normalized.obj,Biplane,0.13901,0.02758,0.07861
m1118_normalized.obj,Biplane,0.01857,0.01042,0.02231
m1119_normalized.obj,Biplane,0.08324,0.04027,0.08941
m1120_normalized.obj,Biplane,0.02906,0.01036,0.02354
m1121_normalized.obj,Biplane,0.0177,0.00555,0.01455
m1122_normalized.obj,Biplane,0.07324,0.0397,0.08423
m1123_normalized.obj,Biplane,0.04413,0.02728,0.0601
m1124_normalized.obj,Biplane,0.02505,0.0125,0.0287
m1125_normalized.obj,Biplane,0.04035,0.02583,0.04392
m1126_normalized.obj,Biplane,0.04403,0.02752,0.04777
m1127_normalized.obj,Biplane,0.06835,0.03629,0.07575
m1128_normalized.obj,Biplane,0.05942,0.03093,0.06885
m1129_normalized.obj,Biplane,0.08721,0.03688,0.096
m1131_normalized.obj,Biplane,0.02532,0.01432,0.02622
m1132_normalized.obj,Biplane,0.03833,0.02068,0.04807
m1133_normalized.obj,Biplane,0.07048,0.02676,0.0653
m1134_normalized.obj,Biplane,0.02628,0.01371,0.02978
m1135_normalized.obj,Biplane,0.02717,0.02024,0.04128
m1136_normalized.obj,Biplane,0.06998,0.01428,0.04145
m1137_normalized.obj,Biplane,0.0291,0.01984,0.04491
m1138_normalized.obj,Biplane,0.07598,0.04102,0.08828
m1139_normalized.obj,Biplane,0.0441,0.01605,0.03372
m1141_normalized.obj,Biplane,0.06275,0.03216,0.07493
m1143_normalized.obj,Biplane,0.01925,0.03073,0.05562
m1144_normalized.obj,Biplane,0.05497,0.02999,0.07227
m1146_normalized.obj,Biplane,0.00688,0.00142,0.00542
D00089_normalized.obj,Bird,0.1355,0.02603,0.10375
D00113_normalized.obj,Bird,0.14529,0.11737,0.29895
D00164_normalized.obj,Bird,0.04492,0.03241,0.10821
D00234_normalized.obj,Bird,0.24591,0.04396,0.16728
D00271_normalized.obj,Bird,0.07768,0.02274,0.0754
D00284_normalized.obj,Bird,0.11546,0.02907,0.08326
D00323_normalized.obj,Bird,0.0777,0.04296,0.14661
D00386_normalized.obj,Bird,0.1564,0.09473,0.21913
D00438_normalized.obj,Bird,0.06239,0.02141,0.08687
D00442_normalized.obj,Bird,0.24602,0.02546,0.10051
D00546_normalized.obj,Bird,0.23104,0.08817,0.2888
D00599_normalized.obj,Bird,0.06325,0.02245,0.07985
D00625_normalized.obj,Bird,0.08249,0.00426,0.02056
D00689_normalized.obj,Bird,0.03287,0.00797,0.02593
D00736_normalized.obj,Bird,0.09553,0.03113,0.11577
D00762_normalized.obj,Bird,0.26587,0.03526,0.16376
D00862_normalized.obj,Bird,0.113,0.0369,0.12733
D00922_normalized.obj,Bird,0.14064,0.02913,0.11187
D00961_normalized.obj,Bird,0.06163,0.01794,0.06886
D00999_normalized.obj,Bird,0.13726,0.04375,0.16425
m28_normalized.obj,Bird,0.18744,0.09159,0.25749
m29_normalized.obj,Bird,0.40431,0.12874,0.41486
m30_normalized.obj,Bird,0.30046,0.1045,0.31875
m31_normalized.obj,Bird,0.56155,0.32198,0.60663
m32_normalized.obj,Bird,0.49715,0.15073,0.37973
m33_normalized.obj,Bird,0.24972,0.12648,0.36879
m34_normalized.obj,Bird,0.13591,0.02617,0.10394
m35_normalized.obj,Bird,0.37868,0.16793,0.38396
m36_normalized.obj,Bird,0.39326,0.08364,0.2805
m37_normalized.obj,Bird,0.14374,0.03226,0.12657
m38_normalized.obj,Bird,0.13714,0.04367,0.16485
m39_normalized.obj,Bird,0.13591,0.03932,0.16506
m40_normalized.obj,Bird,0.07872,0.01824,0.06209
m41_normalized.obj,Bird,0.08859,0.03078,0.12334
m42_normalized.obj,Bird,0.18447,0.02204,0.08709
m43_normalized.obj,Bird,0.31483,0.01153,0.049
m44_normalized.obj,Bird,0.10091,0.03016,0.09018
m45_normalized.obj,Bird,0.11769,0.02971,0.08576
m47_normalized.obj,Bird,0.1963,0.03262,0.15206
m48_normalized.obj,Bird,0.80752,0.24759,0.74701
m49_normalized.obj,Bird,0.71925,0.32948,0.79485
m50_normalized.obj,Bird,0.64235,0.23245,0.67664
m51_normalized.obj,Bird,0.69313,0.31548,0.82908
m52_normalized.obj,Bird,0.26873,0.12227,0.44349
D01009_normalized.obj,Bookset,0.0834,0.02681,0.06174
D01013_normalized.obj,Bookset,0.14488,0.21523,0.41644
D01030_normalized.obj,Bookset,1.00471,0.44857,0.94084
D01038_normalized.obj,Bookset,0.18212,0.4598,0.67935
D01042_normalized.obj,Bookset,0.03149,0.04234,0.08185
D01050_normalized.obj,Bookset,0.46065,0.05352,0.17578
D01065_normalized.obj,Bookset,0.21226,0.42604,0.88237
D01078_normalized.obj,Bookset,0.65553,0.26527,0.38325
D01096_normalized.obj,Bookset,0.05295,0.08187,0.1752
D01108_normalized.obj,Bookset,0.06425,0.33633,0.37179
D01109_normalized.obj,Bookset,0.4482,0.27414,0.67424
D01110_normalized.obj,Bookset,0.30879,0.16664,0.33504
D01122_normalized.obj,Bookset,1.69619,0.81406,0.96603
D01135_normalized.obj,Bookset,0.2279,0.88485,0.9434
D01146_normalized.obj,Bookset,0.26216,0.1584,0.40531
D01182_normalized.obj,Bookset,0.09908,0.05705,0.19442
D01183_normalized.obj,Bookset,0.05457,0.02658,0.06292
D01184_normalized.obj,Bookset,0.01868,0.0076,0.0163
D01190_normalized.obj,Bookset,0.16265,0.36084,0.41271
D01199_normalized.obj,Bookset,0.18754,0.06258,0.13696
D00020_normalized.obj,Bottle,0.65489,0.538,0.90002
D00123_normalized.obj,Bottle,0.94304,0.87495,1.46947
D00139_normalized.obj,Bottle,0.07683,0.17856,0.31132
D00166_normalized.obj,Bottle,0.40005,1.00172,1.48687
D00176_normalized.obj,Bottle,0.00382,0.00802,0.01345
D00208_normalized.obj,Bottle,0.08949,0.18135,0.29321
D00281_normalized.obj,Bottle,0.06977,0.19293,0.31826
D00311_normalized.obj,Bottle,0.74007,0.56806,0.97648
D00347_normalized.obj,Bottle,0.09801,0.1723,0.3055
D00350_normalized.obj,Bottle,0.55419,0.50205,0.92999
D00390_normalized.obj,Bottle,0.11915,0.17695,0.3099
D00451_normalized.obj,Bottle,0.46916,0.64862,1.50547
D00679_normalized.obj,Bottle,0.02841,0.04814,0.0886
D00696_normalized.obj,Bottle,0.43636,1.03537,1.78118
D00711_normalized.obj,Bottle,0.7216,0.55642,0.82393
D00716_normalized.obj,Bottle,0.22073,0.68225,0.92558
D00726_normalized.obj,Bottle,0.61123,0.62702,0.96555
D00892_normalized.obj,Bottle,0.45228,0.90301,1.62023
D00940_normalized.obj,Bottle,0.73701,0.65691,0.98725
D00959_normalized.obj,Bottle,1.16926,0.81601,1.79296
m482_normalized.obj,Bottle,0.40442,0.43395,0.78064
m483_normalized.obj,Bottle,0.37751,0.38303,0.64412
m484_normalized.obj,Bottle,0.35243,0.28594,0.49176
m485_normalized.obj,Bottle,0.48682,0.45524,0.8043
m486_normalized.obj,Bottle,0.4189,0.606,0.98604
m487_normalized.obj,Bottle,0.78143,0.79718,1.4952
m488_normalized.obj,Bottle,0.73071,0.5866,0.9372
m489_normalized.obj,Bottle,0.18819,0.58409,1.00098
m490_normalized.obj,Bottle,0.39854,0.57118,0.91043
m491_normalized.obj,Bottle,0.4271,0.27928,0.534
m492_normalized.obj,Bottle,0.6371,0.41853,0.86354
m382_normalized.obj,BuildingNonResidential,0.14998,0.14833,0.21601
m383_normalized.obj,BuildingNonResidential,0.09285,0.13388,0.29259
m384_normalized.obj,BuildingNonResidential,0.06828,0.06686,0.16398
m385_normalized.obj,BuildingNonResidential,0.16638,0.11734,0.2454
m386_normalized.obj,BuildingNonResidential,0.12439,0.09627,0.13909
m387_normalized.obj,BuildingNonResidential,0.01081,0.01891,0.02141
m389_normalized.obj,BuildingNonResidential,0.02023,0.0417,0.13528
m390_normalized.obj,BuildingNonResidential,0.8074,0.30864,0.78532
m391_normalized.obj,BuildingNonResidential,0.64409,0.29441,0.65269
m392_normalized.obj,BuildingNonResidential,0.70781,0.34512,0.98328
m393_normalized.obj,BuildingNonResidential,0.10498,0.11795,0.22939
m394_normalized.obj,BuildingNonResidential,0.02231,0.02483,0.04636
m395_normalized.obj,BuildingNonResidential,0.1244,0.17703,0.30539
m396_normalized.obj,BuildingNonResidential,0.18244,0.09982,0.29316
m397_normalized.obj,BuildingNonResidential,0.10368,0.1217,0.20743
m398_normalized.obj,BuildingNonResidential,0.06957,0.09773,0.19363
m399_normalized.obj,BuildingNonResidential,0.09478,0.12877,0.19583
m400_normalized.obj,BuildingNonResidential,0.02716,0.05308,0.11953
m401_normalized.obj,BuildingNonResidential,0.01761,0.04403,0.10185
m402_normalized.obj,BuildingNonResidential,0.02205,0.10404,0.27403
m404_normalized.obj,BuildingNonResidential,0.08836,0.15797,0.46088
m405_normalized.obj,BuildingNonResidential,0.01349,0.08331,0.1457
m406_normalized.obj,BuildingNonResidential,0.02115,0.07393,0.20438
m407_normalized.obj,BuildingNonResidential,0.23595,0.13743,0.28749
m408_normalized.obj,BuildingNonResidential,0.12947,0.36365,0.58946
m409_normalized.obj,BuildingNonResidential,0.37662,0.16699,0.4448
m410_normalized.obj,BuildingNonResidential,0.01555,0.06068,0.13074
m412_normalized.obj,BuildingNonResidential,0.01593,0.01944,0.03691
m413_normalized.obj,BuildingNonResidential,0.03955,0.23848,0.31375
m414_normalized.obj,BuildingNonResidential,0.08064,0.22605,0.22605
m415_normalized.obj,BuildingNonResidential,0.0594,0.15296,0.29697
m416_normalized.obj,BuildingNonResidential,0.02178,0.4053,0.46836
m418_normalized.obj,BuildingNonResidential,0.04949,0.19319,0.20821
m420_normalized.obj,BuildingNonResidential,0.04698,0.26117,0.34111
m421_normalized.obj,BuildingNonResidential,0.04746,0.17738,0.22993
m470_normalized.obj,BuildingNonResidential,0.23077,0.09953,0.24751
m471_normalized.obj,BuildingNonResidential,0.42998,0.31974,0.6276
m472_normalized.obj,BuildingNonResidential,0.41662,0.18486,0.46525
m474_normalized.obj,BuildingNonResidential,0.10218,0.02809,0.06915
m475_normalized.obj,BuildingNonResidential,0.06001,0.00587,0.04187
m477_normalized.obj,BuildingNonResidential,0.05246,0.0195,0.05161
m478_normalized.obj,BuildingNonResidential,0.00375,0.00237,0.00368
m479_normalized.obj,BuildingNonResidential,0.53915,0.12368,0.24553
m481_normalized.obj,BuildingNonResidential,4e-05,2e-05,5e-05
D00084_normalized.obj,Bus,0.53215,0.28728,0.40213
D00114_normalized.obj,Bus,0.00788,0.03378,0.0403
D00151_normalized.obj,Bus,0.23331,0.08551,0.16531
D00179_normalized.obj,Bus,0.11498,0.2462,0.30616
D00182_normalized.obj,Bus,0.00338,0.00538,0.00732
D00264_normalized.obj,Bus,0.51914,0.16875,0.23609
D00411_normalized.obj,Bus,0.06121,0.25591,0.33124
D00436_normalized.obj,Bus,0.37576,0.09735,0.12494
D00446_normalized.obj,Bus,0.07044,0.20896,0.28602
D00448_normalized.obj,Bus,0.22867,0.19075,0.25458
D00483_normalized.obj,Bus,0.3072,0.25188,0.3407
D00516_normalized.obj,Bus,0.2047,1.69038,2.26613
D00677_normalized.obj,Bus,0.03445,0.03391,0.05436
D00754_normalized.obj,Bus,0.13431,0.15227,0.26845
D00769_normalized.obj,Bus,0.05823,0.15987,0.17956
D00775_normalized.obj,Bus,0.17147,0.429,0.50665
D00815_normalized.obj,Bus,0.17188,0.12788,0.1573
D00823_normalized.obj,Bus,0.15599,0.19142,0.23998
D00832_normalized.obj,Bus,0.51558,0.47244,0.67854
D00857_normalized.obj,Bus,0.19329,0.44071,0.56314
D00168_normalized.obj,Car,0.18807,0.24909,0.36049
D00236_normalized.obj,Car,0.06585,0.24118,0.37732
D00260_normalized.obj,Car,0.15953,0.50941,0.81526
D00265_normalized.obj,Car,0.42723,0.45258,0.72379
D00299_normalized.obj,Car,0.08657,0.47111,0.64497
D00377_normalized.obj,Car,0.19377,0.40842,0.59088
D00405_normalized.obj,Car,0.07272,0.06539,0.09659
D00452_normalized.obj,Car,0.10486,0.27572,0.40321
D00504_normalized.obj,Car,0.18761,0.40453,0.61038
D00541_normalized.obj,Car,0.05614,0.10369,0.16703
D00618_normalized.obj,Car,0.40153,0.47618,0.71859
D00670_normalized.obj,Car,0.37577,0.47977,0.72932
D00671_normalized.obj,Car,0.22758,0.51886,0.76056
D00724_normalized.obj,Car,0.12341,0.30155,0.46134
D00767_normalized.obj,Car,0.38205,0.40267,0.60335
D00785_normalized.obj,Car,0.48683,0.49458,0.72776
D00793_normalized.obj,Car,0.41597,0.50069,0.77543
D00803_normalized.obj,Car,0.06153,0.28189,0.38024
D00865_normalized.obj,Car,0.51112,0.53193,0.81376
D00976_normalized.obj,Car,0.1175,0.31925,0.46568
m1485_normalized.obj,Car,0.33131,0.40427,0.61692
m1486_normalized.obj,Car,0.47021,0.49789,0.7289
m1487_normalized.obj,Car,0.07736,0.23499,0.28015
m1488_normalized.obj,Car,0.07883,0.16059,0.22991
m1489_normalized.obj,Car,0.34801,0.35234,0.53605
m1490_normalized.obj,Car,0.15255,0.13453,0.20677
m1492_normalized.obj,Car,0.0417,0.05964,0.13774
m1495_normalized.obj,Car,0.0913,0.17026,0.26732
m1496_normalized.obj,Car,0.31315,0.41307,0.58486
m1497_normalized.obj,Car,0.15301,0.30845,0.43079
m1498_normalized.obj,Car,0.18178,0.35297,0.50126
m1499_normalized.obj,Car,0.04121,0.14035,0.20948
m1500_normalized.obj,Car,0.26575,0.35065,0.48486
m1502_normalized.obj,Car,0.21106,0.16819,0.2807
m1503_normalized.obj,Car,0.09969,0.0691,0.1097
m1504_normalized.obj,Car,0.10973,0.20094,0.30816
m1505_normalized.obj,Car,0.08858,0.21111,0.32482
m1506_normalized.obj,Car,0.03589,0.05225,0.06952
m1507_normalized.obj,Car,0.05782,0.15906,0.22912
m1508_normalized.obj,Car,0.09419,0.30608,0.4561
m1509_normalized.obj,Car,0.04955,0.0816,0.14906
m1510_normalized.obj,Car,0.08868,0.19981,0.34033
m1511_normalized.obj,Car,0.05457,0.11442,0.18553
m1512_normalized.obj,Car,0.07114,0.24732,0.37894
m1513_normalized.obj,Car,0.06512,0.07584,0.13926
m1514_normalized.obj,Car,0.09941,0.15378,0.27651
m1515_normalized.obj,Car,0.30239,0.18393,0.29998
m1516_normalized.obj,Car,0.2089,0.50335,0.76791
m1517_normalized.obj,Car,0.28102,0.46353,0.71014
m1518_normalized.obj,Car,0.36119,0.43073,0.6921
m1519_normalized.obj,Car,0.38241,0.46421,0.6867
m1521_normalized.obj,Car,0.31277,0.58288,0.75566
m1522_normalized.obj,Car,0.43741,0.55022,0.80857
m1523_normalized.obj,Car,0.34759,0.44236,0.69421
m1524_normalized.obj,Car,0.46087,0.47186,0.71212
m1525_normalized.obj,Car,0.19533,0.33511,0.47874
m1526_normalized.obj,Car,0.39849,0.52441,0.72607
m1527_normalized.obj,Car,0.1036,0.32919,0.50005
m1528_normalized.obj,Car,0.13108,0.46939,0.70545
m1529_normalized.obj,Car,0.35407,0.51549,0.77056
m1530_normalized.obj,Car,0.2766,0.4404,0.6893
m1531_normalized.obj,Car,0.67859,0.50417,0.72313
m1532_normalized.obj,Car,0.68445,0.55506,0.83007
m1533_normalized.obj,Car,0.40788,0.57231,0.83166
m1535_normalized.obj,Car,0.12852,0.31343,0.43746
m1536_normalized.obj,Car,0.53368,0.41974,0.65537
m1538_normalized.obj,Car,0.34759,0.44022,0.69421
m1539_normalized.obj,Car,0.19366,0.40552,0.58948
m1540_normalized.obj,Car,0.22321,0.46958,0.63984
m1542_normalized.obj,Car,0.26492,0.41789,0.65711
m1543_normalized.obj,Car,0.37933,0.46311,0.75704
m1544_normalized.obj,Car,0.03108,0.1431,0.21249
m1545_normalized.obj,Car,0.14893,0.35531,0.53548
m1546_normalized.obj,Car,0.09095,0.49603,0.63927
m1547_normalized.obj,Car,0.51196,0.42452,0.56192
m1548_normalized.obj,Car,0.14805,0.35411,0.53247
m1550_normalized.obj,Car,0.26581,0.38147,0.57914
m1551_normalized.obj,Car,0.08333,0.25978,0.37454
m1552_normalized.obj,Car,0.34769,0.41827,0.65438
m1553_normalized.obj,Car,0.72038,0.39502,0.63621
m1555_normalized.obj,Car,0.22096,0.17204,0.49924
m1556_normalized.obj,Car,0.22755,0.11402,0.15968
m1557_normalized.obj,Car,0.26822,0.41099,0.54782
m1558_normalized.obj,Car,0.0101,0.01824,0.02554
m1559_normalized.obj,Car,0.02326,0.03837,0.05534
m1560_normalized.obj,Car,0.03113,0.13906,0.21951
m1561_normalized.obj,Car,0.26272,0.2612,0.40484
m1562_normalized.obj,Car,0.10367,0.19422,0.27319
m1563_normalized.obj,Car,0.22092,0.32952,0.47712
D00018_normalized.obj,Cellphone,0.22715,0.42154,0.63061
D00032_normalized.obj,Cellphone,0.27254,0.71295,0.88769
D00079_normalized.obj,Cellphone,0.4425,0.71798,1.00059
D00152_normalized.obj,Cellphone,0.18617,0.67772,0.84693
D00192_normalized.obj,Cellphone,0.30778,0.82789,0.98167
D00248_normalized.obj,Cellphone,0.30632,0.38044,0.72046
D00312_normalized.obj,Cellphone,0.37985,0.07292,0.2597
D00327_normalized.obj,Cellphone,0.28905,0.62943,0.79299
D00362_normalized.obj,Cellphone,0.23613,0.59187,0.8309
D00369_normalized.obj,Cellphone,0.36144,0.54079,0.91029
D00440_normalized.obj,Cellphone,0.535,0.46117,0.84846
D00527_normalized.obj,Cellphone,0.38075,0.70422,0.88664
D00542_normalized.obj,Cellphone,0.53312,0.43505,0.81434
D00554_normalized.obj,Cellphone,0.50355,0.72399,0.95434
D00559_normalized.obj,Cellphone,0.31142,0.90935,1.39432
D00817_normalized.obj,Cellphone,0.43948,0.82806,0.95108
D00848_normalized.obj,Cellphone,0.23077,0.52465,0.84818
D00902_normalized.obj,Cellphone,0.41621,0.72517,0.94198
D00979_normalized.obj,Cellphone,0.31143,0.90554,1.39438
D00997_normalized.obj,Cellphone,0.29075,0.58476,0.88416
D01017_normalized.obj,Chess,0.5356,0.3317,0.54819
D01019_normalized.obj,Chess,0.46737,0.25573,0.53345
D01021_normalized.obj,Chess,0.51742,0.28184,0.52878
D01043_normalized.obj,Chess,0.46081,0.24868,0.48202
D01045_normalized.obj,Chess,0.27983,0.15114,0.33779
D01049_normalized.obj,Chess,0.47029,0.29158,0.64653
D01053_normalized.obj,Chess,0.09186,0.03651,0.08629
D01080_normalized.obj,Chess,0.42924,0.18046,0.4932
D01081_normalized.obj,Chess,0.33702,0.21179,0.49142
D01099_normalized.obj,Chess,0.41076,0.19373,0.506
D01105_normalized.obj,Chess,0.48084,0.23274,0.55742
D01112_normalized.obj,Chess,0.34119,0.15506,0.40057
D01123_normalized.obj,Chess,0.45535,0.24253,0.38963
D01126_normalized.obj,Chess,0.15406,0.09461,0.19378
